product,energy_kev,intensity,intensity_unc,decay_mode,parent_energy_kev,half_life,rank
62Cu,7.478,0.4706969230296656,0.004706139925927787,EC+B+,0.0,9.67 m,1
62Cu,1172.97,0.342,0.016999999999999998,EC+B+,0.0,9.67 m,2
62Cu,875.66,0.14706,0.010011078862939797,EC+B+,0.0,9.67 m,3
62Cu,8.296,0.09809734323655113,0.0013888687980681005,EC+B+,0.0,9.67 m,4
62Cu,2301.95,0.042066,0.0029296731899650513,EC+B+,0.0,9.67 m,5
62Cu,1128.82,0.031806,0.0023288754797111846,EC+B+,0.0,9.67 m,6
62Cu,0.874,0.024181062582102033,0.0011542330022618259,EC+B+,0.0,9.67 m,7
62Cu,3370.3,0.0084132,0.0006357205990055694,EC+B+,0.0,9.67 m,8
62Cu,2084.8,0.004788,0.0010532426121269496,EC+B+,0.0,9.67 m,9
62Cu,2097.6,0.0028728,0.0004023907056580706,EC+B+,0.0,9.67 m,10
61Co,67.412,84.672,0.384,B-,0.0,1.649 h,1
61Co,917.5,3.6162,0.2651077516784449,B-,0.0,1.649 h,2
61Co,7.478,2.5379100002887016,0.04616913107535926,B-,0.0,1.649 h,3
61Co,850.0,0.7938,0.0706517770477148,B-,0.0,1.649 h,4
61Co,8.296,0.5289225746353678,0.010986161231987888,B-,0.0,1.649 h,5
61Co,0.874,0.1299240129603024,0.0064711010515619855,B-,0.0,1.649 h,6
61Cu,282.956,12.7,2,EC+B+,0.0,3.339 h,1
61Cu,656.008,10.4,1.6,EC+B+,0.0,3.339 h,2
61Cu,7.478,8.5,0.5,EC+B+,0.0,3.339 h,3
61Cu,67.412,4.0,0.6,EC+B+,0.0,3.339 h,4
61Cu,1185.234,3.6,0.6,EC+B+,0.0,3.339 h,5
61Cu,373.05,2.14,0.33,EC+B+,0.0,3.339 h,6
61Cu,8.296,1.77,0.11,EC+B+,0.0,3.339 h,7
61Cu,588.605,1.17,0.18,EC+B+,0.0,3.339 h,8
61Cu,908.631,1.09,0.17,EC+B+,0.0,3.339 h,9
61Cu,0.874,0.44,0.03,EC+B+,0.0,3.339 h,10
