product,energy_kev,intensity,intensity_unc,decay_mode,parent_energy_kev,half_life,rank
207Tl,897.77,0.263,0.009,B-,0.0,4.77 m,1
207Tl,569.698,0.00185,0.00019,B-,0.0,4.77 m,2
207Tl,328.1,0.00142,0.00014,B-,0.0,4.77 m,3
207Pbm,569.698,97.9,1.4,IT,1633.356,0.806 s,1
207Pbm,1063.656,88.8,1.3,IT,1633.356,0.806 s,2
207Tlm,351.07,0.0,Iγ not given in ENSDF,IT,1348.18,1.33 s,1
207Tlm,997.1,0.0,Iγ not given in ENSDF,IT,1348.18,1.33 s,2
206Tl,803.06,0.005,0.0005,B-,0.0,4.202 m,1
206Tl,363.3,0.00013,0.00013,B-,0.0,4.202 m,2
206Tl,1166.4,0.0,Iγ not given in ENSDF,B-,0.0,4.202 m,3
206Hg,304.896,26.0,5,B-,0.0,8.32 m,1
206Hg,649.42,2.2,0.3,B-,0.0,8.32 m,2
206Hg,344.52,0.55,0.11,B-,0.0,8.32 m,3
206Hg,265.832,0.0035,0.0007,B-,0.0,8.32 m,4
206Hg,383.59,0.0035,0.0005,B-,0.0,8.32 m,5
206Pbm,803.06,98.0,6.601090818948032,IT,2200.16,125 us,1
206Pbm,516.18,91.14,5.638625719091488,IT,2200.16,125 us,2
206Pbm,880.98,66.64,4.4190496715922984,IT,2200.16,125 us,3
206Pbm,537.47,29.4,3.0746707140765497,IT,2200.16,125 us,4
206Pbm,343.51,28.42,3.066023483276017,IT,2200.16,125 us,5
206Pbm,657.18,0.3234,0.0099,IT,2200.16,125 us,6
206Pbm,202.44,0.098,0.010248902380255165,IT,2200.16,125 us,7
206Pbm,313.66,0.06174,0.00189,IT,2200.16,125 us,8
206Pbm,1194.68,0.04704,0.0014399999999999999,IT,2200.16,125 us,9
206Tlm,453.3,92.88,5.16,IT,2643.1,3.74 m,1
206Tlm,686.5,91.16,5.16,IT,2643.1,3.74 m,2
206Tlm,265.7,86.0,0,IT,2643.1,3.74 m,3
206Tlm,216.4,73.96,3.44,IT,2643.1,3.74 m,4
206Tlm,1021.5,68.8,6.0200000000000005,IT,2643.1,3.74 m,5
206Tlm,457.2,22.36,2.58,IT,2643.1,3.74 m,6
206Tlm,247.2,8.428,1.806,IT,2643.1,3.74 m,7
206Tlm,1139.9,5.934,1.978,IT,2643.1,3.74 m,8
206Tlm,564.2,5.504,0.9460000000000001,IT,2643.1,3.74 m,9
206Tlm,704.6,1.462,0.9460000000000001,IT,2643.1,3.74 m,10
206Pbn,458.1,95.7,8.78635305459552,IT,4027.3,202 ns,1
206Pbn,1369.0,56.1,10.467568963231146,IT,4027.3,202 ns,2
206Pbn,1299.1,37.62,5.449853209032331,IT,4027.3,202 ns,3
