target,product,z,a,n,isomer,x_neutrons,y_protons,channel,eth_mev,excitation_kev,half_life,is_metastable,jp,decay,mass_estimated
208Pb,207Tl,81,207,126,,0,1,"(γ,p)",8.003054,0.0,4.77 m,False,1/2+*,B-=100,False
208Pb,207Pbm,82,207,125,m,1,0,"(γ,n)",9.001225,1633.356,806 ms,True,13/2+,IT=100,False
208Pb,207Tlm,81,207,126,m,0,1,"(γ,p)",9.351234,1348.18,1.33 s,True,11/2-,IT~100;B- ?,False
208Pb,206Tl,81,206,125,,1,1,"(γ,pn)",14.855515,0.0,4.202 m,False,0-*,B-=100,False
208Pb,206Hg,80,206,126,,0,2,"(γ,2p)",15.380733,0.0,8.32 m,False,0+,B-=100,False
208Pb,206Pbm,82,206,124,m,2,0,"(γ,2n)",16.305809,2200.16,125 us,True,7-,IT=100,False
208Pb,206Hgm,80,206,126,m,0,2,"(γ,2p)",17.483133,2102.4,2.088 us,True,5-,IT=100,False
208Pb,206Tlm,81,206,125,m,1,1,"(γ,pn)",17.498615,2643.1,3.74 m,True,(12)-,IT=100,False
208Pb,206Pbn,82,206,124,n,2,0,"(γ,2n)",18.132949,4027.3,202 ns,True,12+,IT=100,False
208Pb,206Hgn,80,206,126,n,0,2,"(γ,2p)",19.103033,3722.3,106 ns,True,(10+),IT=100,False
